noa.txt,1715000796,60.386101,5.339282,5,24.2,4.16,103306
noa.txt,1715001687,60.385075,5.339033,4,25.7,4.16,36486
noa.txt,1715002573,60.384693,5.339131,6,11.4,4.16,31948
noa.txt,1715003041,60.384815,5.339038,8,11.2,4.13,104054
noa.txt,1715003422,60.384514,5.339250,6,11.3,4.15,22891
noa.txt,1715003807,60.384384,5.339490,7,11.4,4.14,15879
noa.txt,1715004187,60.384415,5.339422,5,11.6,4.16,21837
noa.txt,1715004571,60.384357,5.339580,6,11.4,4.15,15239
noa.txt,1715004949,60.384544,5.339365,6,11.4,4.14,15297
noa.txt,1715005329,60.384472,5.339436,5,11.3,4.16,20439
noa.txt,1715005713,60.384415,5.339438,5,11.7,4.16,15012
noa.txt,1715006092,60.384384,5.339404,5,11.6,4.15,15945
noa.txt,1715006473,60.384441,5.339602,5,11.6,4.14,17126
noa.txt,1715006854,60.384472,5.339303,5,11.4,4.13,17590
noa.txt,1715007243,60.384392,5.339637,4,11.4,4.14,26028
noa.txt,1715007626,60.384449,5.339293,5,11.2,4.13,17780
noa.txt,1715008019,60.384392,5.339552,4,11.0,4.14,29244
noa.txt,1715008401,60.384415,5.339561,5,10.9,4.13,18451
noa.txt,1715008794,60.384472,5.339379,4,10.9,4.14,29233
noa.txt,1715009175,60.384407,5.339821,4,10.9,4.14,16965
noa.txt,1715009566,60.384449,5.339407,4,10.9,4.14,27225
noa.txt,1715009948,60.384415,5.339445,4,10.8,4.15,18496
noa.txt,1715010339,60.384457,5.339426,4,10.8,4.15,27122
noa.txt,1715010723,60.384529,5.339516,5,10.8,4.13,20435
noa.txt,1715011119,60.384609,5.339640,4,11.2,4.12,31868
noa.txt,1715011543,60.384480,5.339540,5,11.5,4.13,59784
noa.txt,1715011926,60.384457,5.339623,6,11.5,4.12,20175
noa.txt,1715012308,60.384563,5.339591,4,11.4,4.13,17793
noa.txt,1715012689,60.384392,5.339552,4,11.2,4.13,16995
noa.txt,1715013089,60.384449,5.339479,4,11.2,4.14,36325
noa.txt,1715013469,60.384544,5.339492,4,11.2,4.12,16648
noa.txt,1715013849,60.384441,5.339558,4,11.2,4.14,16024
noa.txt,1715014233,60.384457,5.339463,5,11.1,4.14,19802
noa.txt,1715014623,60.384586,5.339702,5,11.2,4.14,26016
noa.txt,1715015014,60.384529,5.339591,4,11.2,4.11,26981
noa.txt,1715015395,60.384472,5.339486,4,11.2,4.11,16944
noa.txt,1715015791,60.384472,5.339499,5,11.1,4.14,32262
noa.txt,1715016173,60.384205,5.339239,5,11.1,4.15,18248
noa.txt,1715016551,60.384212,5.339143,5,11.1,4.13,14995
noa.txt,1715016931,60.384312,5.339321,5,11.1,4.11,15011
noa.txt,1715017317,60.384449,5.339566,4,11.1,4.13,22079
noa.txt,1715017696,60.384357,5.339377,6,11.1,4.11,15208
noa.txt,1715018076,60.384514,5.339694,6,11.1,4.14,16118
noa.txt,1715018454,60.384724,5.339727,5,11.2,4.12,14894
noa.txt,1715018836,60.384563,5.339621,4,11.3,4.13,17695
noa.txt,1715019215,60.384441,5.339518,7,11.4,4.14,15062
noa.txt,1715019594,60.384514,5.339482,6,11.4,4.11,14703
noa.txt,1715019973,60.384480,5.339476,7,11.6,4.13,14939
noa.txt,1715020351,60.384579,5.339004,7,11.6,4.12,14290
noa.txt,1715020729,60.384449,5.339592,6,11.5,4.12,15296
noa.txt,1715021109,60.384342,5.339566,6,11.4,4.12,14747
noa.txt,1715021488,60.384285,5.339618,6,11.4,4.13,15090
noa.txt,1715021872,60.384838,5.339058,7,11.8,4.13,20234
noa.txt,1715022252,60.384514,5.339215,5,11.7,4.13,16286
noa.txt,1715022644,60.384350,5.339570,6,11.6,4.13,29353
noa.txt,1715023027,60.384666,5.339556,6,11.7,4.14,17940
noa.txt,1715023420,60.384480,5.339606,5,11.8,4.11,29159
noa.txt,1715023800,60.384415,5.339540,6,11.7,4.10,16406
noa.txt,1715024180,60.384422,5.339759,5,11.8,4.12,16566
noa.txt,1715024561,60.384415,5.339524,5,11.8,4.11,16563
noa.txt,1715024943,60.384422,5.339528,6,11.7,4.10,18069
noa.txt,1715025326,60.384449,5.339540,6,11.6,4.13,19068
noa.txt,1715025707,60.384357,5.339088,5,11.6,4.10,17582
noa.txt,1715026086,60.384384,5.339431,6,11.6,4.11,14855
noa.txt,1715026464,60.384300,5.339598,6,11.5,4.12,14291
noa.txt,1715026844,60.384357,5.339763,6,11.4,4.11,15634
noa.txt,1715027223,60.384544,5.339836,7,11.3,4.13,15575
noa.txt,1715027604,60.384487,5.339502,6,11.2,4.13,17008
